company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Verified Certificates,supplier_url,exhibitor_url,Other Certificates,Company Website,Booth: 1C-E28   |   Hall of Aurora   |   ,Booth: 3C-C02   |   Commercial Lighting   |   ,Booth: 1C-B02   |   Hall of Aurora   |   ,Booth: 1E-A20   |   Hall of Aurora   |   ,Booth: 1D-D30   |   Hall of Aurora   |   ,Booth: 1E-B14   |   Hall of Aurora   |   ,Booth: 1C-B14   |   Hall of Aurora   |   ,Booth: 1C-E29   |   Hall of Aurora   |   ,Booth: 1D-B15   |   Hall of Aurora   |   ,Booth: 1E-B18   |   Hall of Aurora   |   ,Booth: 3D-E24   |   Residential Lighting   |   ,Booth: 3D-E06   |   Residential Lighting   |   ,Booth: 3C-F18   |   Technical Lighting   |   Mainland China (Guangdong) - Lighting,Booth: 3C-E22   |   Commercial Lighting   |   ,Booth: 3C-B16   |   Commercial Lighting   |   Mainland China (Guangdong) - Lighting,Booth: 3D-B19   |   Technical Lighting   |   ,Booth: 3D-C20   |   Residential Lighting   |   Mainland China (Guangdong) - Lighting,Booth: 3E-F07   |   Lighting Accessories   |   ,Booth: 3E-A04   |   Decorative Lighting   |   
"Xiamen Star Lighting Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Spotlight,Downlight,LED Lighting,LED Panel Light,LED Tube,Indoor Lighting",LED Bulb T8 Tube T5 Tube Spotlight Dowmlight Global Slim Panel Bulkhead Light Floodlight Back-Lit Panel Wall Lamp Step Light Ceiling Lamp Track Light Strip Light Line Light Tri-Proof Light,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Star-Lighting-Co-Ltd/1S00O9C0O,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0DX,,,,,,,,,,,,,,,,,,,,,
Xiamen Topstar Lighting Co Ltd,Chinese Mainland,,"Retailer, Manufacturer","Ceiling Light,Wall Lamp,Floor Lamp,Explosion-Proof Light,Sensor Light,Edison Bulb,PAR Bulb,LED Panel Light,High Bay Light,Office Lighting","Topstar is a large manufacturer in China, provides odm/oem services for our customers, on LED lighting fixtures, bulbs, smart iot, etc. We have 30+ full-automatic production lines for downlights, panels, t8, filaments, and bulbs.","ODM, OEM, Others",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) Home InStyle 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2022 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Topstar-Lighting-Co-Ltd/1X0061HG,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K47B,ISO 9001 Issued By - Type - Valid Date (N/A) - (N/A) ISO 14001 Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,,,,,,
"Zhongshan D3space Lighting Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Wall Lamp,Chandelier,Spotlight,Downlight,Track Light",吊灯，台灯，吸顶灯,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2017,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-D3space-Lighting-Co-Ltd/1X0A7AX9,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005JWQY,,,,,,,,,,,,,,,,,,,,,
Zhongshan Majeax Lighting Co Ltd,Chinese Mainland    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Wall Lamp,Spotlight,Downlight,Track Light,LED Lighting","A manufacturer, over 17 years of export experience and expertise, specializes in the production of indoor gypsum lamps, commercial lighting for example downlight, wall light & pendant, outdoor concrete light such as bollards, garden lights","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 Hong Kong International Outdoor and Tech Light Expo 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Majeax-Lighting-Co-Ltd/1X0AJ7XI,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005LCH9,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Weibao Smart Technology Co., Ltd",Chinese Mainland,"VBOCGA Colorful Lighting, known for its innovative and energy-efficient lighting solutions, is a company dedicated to the research, development, manufacturing, and sales of LED products. Established with a vision to illuminate spaces beautifully while promoting environmental sustainability, VBOCGA has grown into a leading enterprise in the lighting industry. The company's product line includes a wide range of indoor and outdoor LED lighting fixtures, such as downlights, spotlights, wall washers, street lights, and decorative lighting, all designed to offer superior performance, longevity, and energy efficiency. VBOCGA places great emphasis on design and quality, ensuring that each product not only meets but often exceeds international standards. In addition to providing high-quality lighting products, VBOCGA Colorful Lighting focuses on customer satisfaction and service. The company works closely with architects, designers, contractors, and end-users to provide tailored lighting solutions that enhance the ambiance and functionality of any space. VBOCGA also prides itself on its commitment to innovation, constantly researching and incorporating new technologies to improve its offerings. Sustainability is at the heart of VBOCGA's business practices. The company strives to",Manufacturer,"Ceiling Light,Spotlight,Downlight,Track Light","VBOCGA Colorful Lighting offers a comprehensive range of high-quality LED products designed for both indoor and outdoor use. Our portfolio includes downlights, spotlights, wall washers, and decorative lighting.","OEM, ODM","VBOCGA ,IDUX",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Weibao-Smart-Technology-Co-Ltd/1S00OIHDG,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0SO,,,,,,,,,,,,,,,,,,,,,
"Zhongshan Miya Lighting Co.,Ltd",Chinese Mainland,,Manufacturer,"Wall Lamp,Chandelier,Decorative Lamp,Spotlight,Track Light,LED Lighting,Indoor Lighting","We're the professional manufacturer, which specializes in commercial light, such as magnetic track light, spot light, down light, wall lamp and so on.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ZHONGSHAN-MIYA-LIGHTING-CO-LTD/1S00OO4EQ,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K1HK,,,,,,,,,,,,,,,,,,,,,
"Kang Cai International Lighting Co., Limited",Hong Kong,,Manufacturer,"Track Light, Spotlight",Spot Lighting,ODM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kang-Cai-International-Lighting-Co-Limited/1S00O0O33,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005IQBD,,,,,,,,,,,,,,,,,,,,,
"Shaoxing Meka Electric IMP & EXP Co., Ltd.",Chinese Mainland,,Manufacturer,LED Lighting,LED emergency light,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Meka-Electric-Imp-Exp-Co-Ltd/1X0A0H7E,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0C0,,,,,,,,,,,,,,,,,,,,,
TOPJET INTERNATIONAL LIMITED,Hong Kong,"Company Scale and Strength: Topjet International Limited has invested in a factory located in Zhuhai City, Mainland China. The production base covers an area of over 40,000 square meters and employs more than 300 people. We are a high-tech enterprise that integrates design, manufacturing, and sales, committed to providing high-quality lighting products and services to global customers.","Manufacturer, Exporter","Ceiling Light,Chandelier,Downlight,Track Light,LED Lighting,LED Panel Light,Indoor Lighting,Kitchen Lighting,Office Lighting","NEBULA Eco Super slim Led Panel light offers great transmittance and light output.6W/12W/18W/24W/30W watts options. Various installation ways include suspended, surface mounted, and recessed.The slim profile fits perfectly for all working places.",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TOPJET-INTERNATIONAL-LIMITED/1S00OXLS3,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICU6,,,,,,,,,,,,,,,,,,,,,
"Foshan DC Electronic Technology Co., Ltd.",Chinese Mainland,,"Export Agent, Manufacturer, Exporter",,LED LIGHTING,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-DC-Electronic-Technology-Co-Ltd-/1S00P0KAM,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005LIG6,,,,,,,,,,,,,,,,,,,,,
"Hongkong Gaoneng Lighting Technology Co., Limited",Hong Kong,"With an extensive and complete range of led lighting fixtures, including led downlight /led spotlight /led track light /led grille light /led linear light, we offer a wide spectrum of lighting applications and solutions for projects, from contract and hospitality to retail and residential."" All the product has certificated by EMC&ROHS&SAA standard. They are exported to dozens of countries and regions including Europe, Middle East, Russia and Southeast Asia. Our company philosophy is simple: to offer a service that is personal to each partner we work with, direct and efficient. Whatever your lighting needs are, expect from us to go always the extra mile!","Manufacturer, Distributor, Exporter","Office Lighting, Retail Lighting, Advertising Lighting","LED Downlight, LED Spotlight, LED Track Light, LED Grille Light","ODM, OBM",GONENGO,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONGKONG-GAONENG-LIGHTING-TECHNOLOGY-CO-LIMITED/1S00OLJ7W,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005ICJ3,,,,,,,,,,,,,,,,,,,,,
"Ningbo Freelux Lighting Appliance Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",,LED,"ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Freelux-Lighting-Appliance-Co-Ltd-/1X0ADSWS,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005KZ9A,,,,,,,,,,,,,,,,,,,,,
"Shenzhen IShineLUX Technology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Importer, Export Agent, Manufacturer, Professional Association, Buying Cooperative, Exporter, Import Agent, Buying Office","Outdoor Floodlight,Tunnel Light,Exhibition Lighting,Industrial Lighting","LED stadium light, LED flood light, LED high bay light","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Hong Kong International Outdoor and Tech Light Expo 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-IShineLUX-Technology-Co-Ltd/1X0AE9HS,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005KDNQ,,,,,,,,,,,,,,,,,,,,,
TL BRILUX TECHNOLOGY,Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Ceiling Light,Table Lamp,Wall Lamp,Chandelier,Decorative Lamp,Floor Lamp,Spotlight,LED Lighting,Indoor Lighting,Contemporary Light","Modern pendant lights, crystal lights, wall lights, floor lights",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TL-BRILUX-TECHNOLOGY/1S00OZJ6Z,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0B3,,,,,,,,,,,,,,,,,,,,,
Auroriv Lighting Ltd.,Chinese Mainland,"Auroriv has grown from afluorescent lamp factory into a leading LED Lighting fixturesmanufacturer,with 160000 square foot faclities in Jiangmen,Guangdong. Auroriv's vision is to provide affordable,high performance andprofessionally designed product for lighting solutions that customerscan rely on. Core Values:Through integrity,respect,and accountability Aurorivcreates relationships that last.",Wholesaler,"Wall Lamp,Downlight,LED Lighting,LED Panel Light,Office Lighting","LED LIGHTING,TROFFER,PANEL,DOWNLIGHT,CEILING LIGHT,STRIP LIGHT,LINEAR HIGH BAY,UFO,AERA LIGHT","OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/AURORIV-LIGHTING-LTD-/1S00ONJCH,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0HL,,,,,,,,,,,,,,,,,,,,,
"Ceramiclite (Hangzhou) Technology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Stadium Light, Outdoor Floodlight, Industrial Lighting","Ceramiclite combines its four core advantages for lighting applications with obvious superiority in Industrial Lighting, Sports Lighting, Agricultural and Livestock Lighting.","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ceramiclite-Hangzhou-Technology-Co-Ltd-/1S00OTJXQ,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0II,,www.ceramiclite.com,,,,,,,,,,,,,,,,,,,
"Dongguan Ulite Smart Lighting Co., Ltd.",Chinese Mainland,"We Ulite have over 20000 square meter factory base,and 15 years of lamp manufacturing experience, A digital factory focusing on the manufacture of solid wood lamps, the perfect combination of tradition and Smart lighting technology (IOT). We have passed ISO-9001, UL/ETL, Sedex, FSC, and other factory qualify work, and adopted factory management ERP, PLM, MES,WMS,SPM,CRM system and quality management QIS system. OEM and ODM business base on the LED and smart light technology, three product lines including the LED products, decoration lighting , solid wood lamp and smart lighting technology products, combined with research and development, production, sales and marketing.","Distributor, Service Company, Importer, Mail Order Co., Import Agent, Professional Association, Shopping Mall, Charity / Welfare Organisation, Wholesaler, Consulate and Trade Commission, Department Store, Retailer, Export Agent, Others, Government, Manufacturer, Private Individual, Buying Office, Exporter, Religious Group, Chain Store, Buying Cooperative, Statutory Body","Chandelier,Decorative Lamp,String Light,Contemporary Light,Christmas Light","Ulite have over 20000 square meter factory base,and 15 years of lamp manufacturing experience, A digital factory focusing on the manufacture of solid wood lamps, the perfect combination of tradition and Smart lighting technology","OBM, ODM, Others, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Ulite-Smart-Lighting-Co-Ltd/1S00O9A9Z,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K9I9,,,,,,,,,,,,,,,,,,,,,
Dongguan VJC Lighting Limited,Chinese Mainland,,Manufacturer,"Table Lamp,Wall Lamp,Chandelier,Spotlight,Downlight,Track Light,Garden Light,Lawn Light,Indoor Lighting","Manufacturing lighting goods: Downlight, wall light, track light, surface light, outdoor light, etc. Also provide custom lighting.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-VJC-Lighting-Limited/1S00O9H9S,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005L4Y2,,,,,,,,,,,,,,,,,,,,,
"Glite Electronics Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Department Store, Buying Office, Wholesaler, Retailer, Buying Cooperative, Chain Store, Distributor","Wall Washer,Lighting Fixture,LED Lighting,Indoor Lighting","LED strip light, COB strip light, Neon strip light, LED linear light, Wall washer light",OEM,Glite,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Glite-Electronics-Co-Ltd/1S00O9H0J,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K9J6,,,,,,,,,,,,,,,,,,,,,
"Ningbo Lumix Lighting & Electrical Co., Ltd.",Chinese Mainland,"Lumix Lighting & Electrical Co.,Ltd was founded in 2003. Running under BS EN 9001:2015, all resources are well organized to ensure quality management system. Create Value With Innovationis the core concept of Lumix business activities. Core competitiveness: 1.Each product must score high on 5 features: 1)Aesthetics 2)Multi-Functionality.3)User-Friendliness 4)Logistics-Friendliness 5)Outstanding Performance. 2.Complete in-house R&D, Manufacturing and Quality Assurance facilities: Plastic Injection, Metal processing, SMT, DIP, Final assembly. Automatic on-line testing and burn-in instrument as well as full range of testing devices in labs.3.Over 2-decade experience have accumulated countless market know-how, product know-how, technical know-how, management know-how.4.A group of key staff has served the compmay for almost 20years. 5.Non-stop research, innovtion is inthe blood of Lumix, a significant part of profit is regularly invested to make an ever-green company.",Manufacturer,"Indoor Lighting, Emergency & Professional Lighting, Exit Light, LED Lighting","LED Ceiling Lamps, LED Wall Lamps, LED Ip65 Fixtures, LED Emergency Lamps, LED Exit Signs","ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) electronicAsia 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Lumix-Lighting-Electrical-Co-Ltd/1X05XURR,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K01X,,www.lumixlite.com,,,,,,,,,,,,,,,,,,,
"Shenzhen Betop Electronics Co., Ltd.",Chinese Mainland,"Shenzhen Betop Electronics Co., Ltd. was established in 2003. After 20 years of development, it has become a national high-tech enterprise that independently develops, produces and sells industrial lighting and commercial lighting products, lighting intelligent control systems and accessory products. Betop is committed to providing customers with high-quality professional lighting products and solutions. On the road of pursuing quality excellence, Betop people will never stop, and have passed a number of international and domestic quality management system and environmental system certifications. Betop has always adhered to the technological innovation-driven development strategy, has a R&D team including several Doctors, formed a complete R&D system, and continuously and steadily developed new LED lighting products and next-generation intelligent lighting controls with international standards system, high-power laser lighting core technology and smart parking system, the company has obtained more than 180 patents.",Buying Cooperative,"LED Lighting,High Bay Light,Industrial Lighting","LED industry and commercial lighting product: highbay, floodlight, streetlight, arealight, shoebox, wallpack, canopy, downlight",OBM,Bitco,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2022 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Betop-Electronics-Co-Ltd/1S00O4ILR,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K000,,,,,,,,,,,,,,,,,,,,,
"Shenzhen Hiorange Lighting Co.,Ltd",Chinese Mainland,,"Manufacturer, Exporter","Optoelectronic Display,Wall Washer,Architectural Lighting,OLED Lighting,Bulkhead Light,Outdoor Floodlight,Street Light,Office Lighting","LED High Bay Light, Solar Street Light, Floodlight, Grow light, Minor customization Design-based customization","OBM, ODM, Others, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hiorange-Industrial-Group-Shenzhen-Co-Ltd/1S00O92RP,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005JQP7,,,,,,,,,,,,,,,,,,,,,
"Xiamen Oneyac Technology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Xiamen Oneyac Technology Co. LTD is a leading authorized distributor of electronic components in Asia, representing numerous well-known international brands. We are the first online authorized distributor in the Asian-Pacific region for KEMET & TE Connectivity. Oneyac is also the first authorized online distributor of Yageo, TDK, TOREX, AVX and Taiyo Yuden in Greater China, and the first online directory distributor in China of Panasonic. Choose Oneyac for a wide selection of resistors, capacitors, and a comprehensive crystal oscillator database. We offer full coverage of discrete semiconductor product brand lines and provide professional assistance with intelligent warehousing, experienced customer service, and a well-trained FAE team for quick feedback and after-sales service from the original manufacturer. Oneyac is your perfect one-stop shop for all electronic component needs.","Export Agent, Import Agent, Distributor","Street Light,Industrial Lighting","TE Connectivity lighting products, e.g. Motion sensor, NEMA Socket, Haga Receptacle, Base, Cover, Photocell","ODM, OBM",TE Connectivity,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Oneyac-Technology-Co-LTD/1S00OXHYP,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0L9,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Songri Electric Co., Ltd.",Chinese Mainland,,Exporter,"Lamp Holder & Base,Lighting Accessories & Lamp Parts,Light Switch,Plug Socket","Our product has some key features: Safety/Durability/Ease of Use Safety: All switch and socket products comply with international safety standards, featuring overload protection and short-circuit prevention to ensure user safety.",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Songri-Electric-Co-Ltd-/1S00OL7QN,https://www.hktdc.com/event/hklightingfairse/en/exhibitor/1S005K0M6,,,,,,,,,,,,,,,,,,,,,
