company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,,HKTDC Events,supplier_url,exhibitor_url,Brand Name,Certificates,Other Certificates,Verified Certificates,Booth: 1A-B02   |   Smart Lighting Products & Solutions   |   Smart Ecosystem and IoT Supply Chain Area,Booth: 1B-C02   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Company Website,Booth: 1A-B22   |   Smart Lighting Products & Solutions   |   Smart Ecosystem and IoT Supply Chain Area,Booth: 1B-B12   |   Smart Lighting Products & Solutions   |   Shenzhen-SZSA Smart Lighting Pavilion,Booth: 1A-E08   |   Connected Lighting Technologies   |   ,Booth: 1B-E08   |   Smart Lighting Products & Solutions   |   Zhongshan,Booth: 1B-D23   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-A05   |   Connected Lighting Technologies   |   Cantonese Business Go Global,Booth: 1B-A15   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-C31   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-F40   |   Smart Lighting Products & Solutions   |   ,Booth: 1B-B18   |   Smart Lighting Products & Solutions   |   Shenzhen-SZSA Smart Lighting Pavilion,Booth: 1B-C22   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global
Zhuhai Super Bright New Energy Ltd,Chinese Mainland,,"Manufacturer, Exporter","LED Bulb,Solar Lights",Solar Gaden Light/ Solar outdoor light,"OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2018 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhuhai-Super-Bright-New-Energy-Ltd/1X0619GT,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005LGMQ,,,,,,,,,,,,,,,,,,
Luminoscape Lighting Limited,Hong Kong,"Luminoscape is a Hong Kong-based manufacturer specializing in high-end linear lighting solutions for architectural applications. With a state-of-the-art production plant in China, we serve as a trusted ODM and OEM partner for global brands. Our expertise lies in architectural linear lighting, including inground, wall-washing, facade, and flexible linear systems, along with pixel bars and projectors. Dedicated to precision engineering and innovation, we design durable, high-performance lighting solutions that enhance architectural spaces with seamless illumination and visual impact.","Government, Manufacturer","Lighting Design & Engineering,Building Exterior Lighting System","Products: Linear wallwashers, pixel bars, spot projectors, inground luminaires. Services: Professional R&D Service, Testing and QC Services, Custom Datasheet and Brading Supports","OEM, ODM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Luminoscape-Lighting-Limited/1S00OT5JA,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005LB2J,Luminoscape,,,,,,,,,,,,,,,,,
"A-One LED Lighting Co., Ltd.",Chinese Mainland,LED spot light; Downlight; Track light; Panel light,"Manufacturer, Exporter","Architectural Lighting,LED Bulb,Indoor Lighting,Retail Lighting,Lighting Distribution System",LED spot light; Downlight; Track light; Panel light,Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/A-One-Led-Lighting-Co-Ltd/1X09FFDE,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K3IF,A-ONE,,"ISO14001 Issued By BEIJING ZHONGHUANZHIAN INTERNATIONAL CERTIFICATION CO.,LTD Type ISO_14001 Valid Date 02 Jul 2024 - 05 Aug 2027 ISO9001 Issued By BEIJING ZHONGHUANZHIAN INTERNATIONAL CERTIFICATION CO.,LTD Type ISO_9001 Valid Date 02 Jul 2024 - 05 Jul 2027 Show More",,,,,,,,,,,,,,,
"Guang Dong Ho So Lighting Co., Ltd",Chinese Mainland,,"Distributor, Wholesaler, Import Agent, Service Company, Chain Store, Export Agent, Exporter, Manufacturer, Shopping Mall, Department Store, Buying Office, Buying Cooperative, Statutory Body, Importer, Charity / Welfare Organisation, Government, Trade/Industrial Organisation","Street Light, Industrial Lighting, Retail Lighting, Residential Lighting, Lighting Design & Engineering, Decorative Lamp","We are a professional panel light factory which established more than 10 years. W have a variety of panel lights such as: ETL Slim Panel Light, Farmless Panel Light, Plastic Panel Light. Wit ETL CE CB FCC certificates etc.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Ho-So-Lighting-Co-Ltd/1X0AXLVE,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K3B0,,,,,,,hosolighting.en.alibaba.com,,,,,,,,,,,
"MOONS' Electric (Taicang) Co., Ltd",Chinese Mainland,,Manufacturer,"Architectural Lighting,Street Light,Indoor Lighting,Emergency & Professional Lighting,Entertainment Lighting,Hospital Lighting,Industrial Lighting,Retail Lighting,Home Automation System,Electrical Wire & Cable,Business Management & Consultancy Services,Building Exterior Lighting System","Intelligent LED Driver, Explosion-proof LED Driver, Emergency LED Driver, High Power LED Driver, Intelligent Lighting Control Solutions: Road & Street, Tunnel, Industry, Sports Applications. Motorized Lighting Solutions.","ODM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/MOONS-Electric-Taicang-Co-Ltd/1S00OTOUU,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KB5A,MOONS',,,,,,,,,,,,,,,,,
Mexcel Ltd.,Chinese Mainland,"Established in 2006, Mexcel is a leading manufacturer of emergency lighting in China. Located in Torch Development Zone of the industrial city Zhongshan, Mexcel is only minutes away from Zhongshan port and Zhongshan passenger port. It takes 1,5h by boat from Kowloon, 1h from Hong Kong International Airport. Since our establishment we have being focusing on western European markets such as Germany, Austria, Switzerland and UK. Our know-how, service and attention to detail have earned us trust from our partners in these markets. Mexcel aims to provide the highest possible quality to make our life safer.","Exporter, Manufacturer","Indoor Lighting,Emergency & Professional Lighting","Emergency luminaire, emergency exit sign, emergency conversion kit.",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mexcel-Ltd-/1X0AJPGH,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JILR,Mexcel,,,,,,,,,,,,,,,,,
"Ningbo L-Star Lighting Co., Ltd.",Chinese Mainland,"Ningbo L-STAR Lighting Science & Technology Co., Ltd. is a integrated enterprise which specializes in developing, producing and selling LED lighting products and providing professional solutions for tender. Our products include street lights, garden lights, tunnel lights, floodlights, High bay lights and so on. L-STAR has passed the ISO9001, 14001, 45001 and 50001 management system certification and have been appraised as a national high-tech enterprise, Ningbo engineering (technology) center, cooperation base of Zhejiang University Photoelectric College. From the beginning of its establishment, we keeps a dedicated, professional and excellence working attitude, producing the high quality LED lighting products as the developing direction . The company sets up a professional engineering team which includes appearance design, structural design, optical design, electronic design, strict and pragmatic quality control team, and well-trained production team. From products development, mould design, die casting, hardware, spraying, PCB to the whole lamp assembly, the complete development and production chain is the basis to ensure the high capacity, high efficiency and high quality of L-STAR lighting products. L-STAR has first-class laboratories such as Spectral analysis",Manufacturer,"Architectural Lighting,Street Light,Retail Lighting,Solar Lights,Building Exterior Lighting System","product series are street light, garden light, highbay light, flood light and solar light. All the products with CE, RoHS certificates, 5 years warranty, no MOQ. especially street light has CB, ENEC,EENEC+ certificates and ISO system","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Hong Kong International Outdoor and Tech Light Expo 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Hong Kong International Outdoor and Tech Light Expo 2018 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-L-Star-Lighting-Co-Ltd/1X07JTC9,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005ILYL,,,CE certificate Issued By - Type - Valid Date (N/A) - (N/A),,,,,,,,,,,,,,,
"Roston Photoelectric Technology Co., Ltd.",Chinese Mainland,"Roston Photoelectric Technology Co., Ltd is an ODM& OEM manufacturer that specializes in LED lighting products such as ceiling lights, ceiling fan. It was originally founded in Zhongshan 2012, and relocated to Jiangmen in 2016 due to scaling up monthly production of over 1 million pcs ceiling lamps. In 2022, despite the challenging market conditions, Roston started to build its new smart LED factory zone, covering an area of 79,000 sqm, and achieved a yearly revenue of over 22 million USD. Over the years, serving brands such as LEDVANCE, TCL, YEELIGHT, OPPLE, NVC, CHINT, DELIXI, MICOE, Roston has been focusing on researching and developing, optimizing supply chain as well as quality management system. Roston is striving to offer the best quality yet cost-friendly LED lighting products that exceed clients' expectations. Up to now, Roston has obtained around 70 patents, ISO 9001 certification and also a series of both domestic and international certifications, including CCC, CQC, CB, CE & RoHS.",Manufacturer,Residential Lighting,"Ceiling Light, Ceiling Fan, Ceiling Lamp, Bedroom Lamp, Tri-proof Light, Tri-proof Lamp","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/ROSTON-PHOTOELECTRIC-TECHNOLOGY-CO-LTD/1X0ABMOI,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005J93I,ROSTON,,,,,,rostonlight.en.made-in-china.com,,,,,,,,,,,
Shenzhen GK Lighting Company Limited,Chinese Mainland,"Founded in 2010,Shenzhen GK Lighting CO.,LTD.Is a National High-tech enterprise specializes in the design and manufacturing of innovative LED decorative lighting,LED sign cabinet lighting.Over years,by offering OEM,ODM,customization solutions,we have helped our customers from more than 60 countries make great success with their projects.We appreciate customers' overwhelming positive recognition.","Manufacturer, Trade/Industrial Organisation","Decorative Lamp,Indoor Lighting,Emergency & Professional Lighting,Entertainment Lighting,Industrial Lighting,Home Automation System,Building Exterior Lighting System","LED strips,LED LIGHTBAR,LED MODULES,LED SMART BAR OEM/ODM","Others, OEM, OBM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2021 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-GK-Lighting-Company-Limited/1X0AXIB7,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005L4EQ,GKL,,UL Issued By UL Type OTHERS Valid Date 30 Dec 2016 - 31 Dec 2029,,,,,,,,,,,,,,,
Shenzhen Snoowel Technology Co Ltd,Chinese Mainland,,Manufacturer,"Architectural Lighting,Street Light,Industrial Lighting",商业照明 专业照明,"OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Snoowel-Technology-Co-Ltd/1X09ZPEJ,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IPCB,,,,,,,,,,,,,,,,,,
"Zhongshan Boshun Lighting Appliance Co., Ltd.",Chinese Mainland,"BOSUN? Lighting, the leading brand of LED street lamp manufacture in China, The founder & CEO Mr. Dave, has rich experience in long-life-span solar-powered streetlights, LED street lights, and smart pole products for 20 years. Innovation is our core culture, BOSUN? lighting has established a professional laboratory, such as IES photometric distribution test system, life testing system of LED, EMC testing system, Integrating sphere, Lightning surge generator, LED power driver tester, drop, and vibration test stand. These devices provide assurance for our R&D and production quality. BOSUN? Lighting products have gained many international certifications, such as ISO9001/CE/RoHs/CB/SAA/FCC/BIS/IP66/LM-79/EN62471/IK10, and so on. BOSUN? Lighting provide worldwide with OEM & ODM. Free DIALux lighting design solutions for your project and help you win more government projects. Please contact BOSUN? Lighting's support team to provide assistance and timely resolution now.","Wholesaler, Chain Store, Import Agent, Export Agent, Trade/Industrial Organisation, Others, Professional Association, Government, Department Store, Distributor, Buying Cooperative, Buying Office","Exterior Lighting Solutions & System, Smart Architectural Lighting, Street Light, Solar Lights, Internet of Things (IoT)","Smart Pole, Smart Street Light, Solar Street Light, Solar Garden Light, Solar Flood Light","OBM, ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Outdoor and Tech Light Expo 2023 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2018 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-City-Bosunlighting-Electric-Appliances-Co-Ltd-/1X06URR0,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K37C,"Bosun,Gebosun",,Ceiling Light EMC Issued By - Type - Valid Date (N/A) - (N/A) LED Tube Light LVD Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,www.smartbrighten.com,,,,,,,,,,,
"Asia Unique LED Lighting Co.,Ltd.",Chinese Mainland,,Manufacturer,Indoor Lighting,"LED Downlight, LED Batten, LED Tri-proof light, LED High Bay",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2018 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Asia-Unique-LED-Lighting-Co-Ltd/1X074V1E,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JYO2,A-unique,,,,,,,,,,,,,,,,,
"DDK Tech Elecfacility Yangzhou Co., Ltd.",Chinese Mainland,,"Professional Association, Retailer, Consulate and Trade Commission, Trade/Industrial Organisation, Import Agent, Shopping Mall, Buying Cooperative, Service Company, Wholesaler, Government, Export Agent, Religious Group, Mail Order Co., Manufacturer, Private Individual, Buying Office, Exporter, Chain Store, Charity / Welfare Organisation, Importer, Distributor, Department Store, Statutory Body","Decorative Lamp,Sensor Light,Architectural Lighting,LED Bulb,Street Light,Emergency & Professional Lighting,Industrial Lighting,Retail Lighting,Solar Lights,Lighting Distribution System,Lighting Design Software,Building Exterior Lighting System","Our company mainly engaged in electrical equipment, indoor and outdoor lighting, outdoor lighting steel poles, aluminum poles, high pole lights, traffic lights, communication poles, power poles, business scope monitoring poles,etc.",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Outdoor and Tech Light Expo 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/DDK-TECH-ELECFACILITY-YANGZHOU-CO-LTD/1S00OD3DU,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IP5W,,,,,,,,,,,,,,,,,,
DongGuang DFM Electronics Limited Company,Chinese Mainland,,Manufacturer,"Lighting Accessories & Lamp Parts,Light Switch,Indoor Lighting,Lighting Distribution System","Including R & D, production, sales: electronic products, smart home devices, IoT devices, computer hardware and software products, lighting appliances, electrical switches, household switches, smart switches, smart sockets, remote control devices,",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/DongGuang-DFM-Electronics-Limited-Company/1S00OATD4,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JKMM,,,CERTIFICATE OF CONFORMITY Issued By CTB Type OTHERS Valid Date 24 Mar 2020 - (N/A) VERIFICATION OF CONFORMITY Issued By Shenzhen CTL Testing Technology Co.. Ltd. Type OTHERS Valid Date 15 Jun 2023 - (N/A) Show More,,,,,,,,,,,,,,,
"Dongguan Venus Optoelectronic Technology Co., Ltd.",Chinese Mainland,"Venusop company was established in 2013, located in Qiaotou Town, Dongguan City, Guangdong Province, plant area of about 8000 square meters, and set up a distribution factory in Vietnam about 20000 square meters. Our company is one of the earliest manufacturers of LED products. Our factory has passed BSCI factory inspection. Our products mainly include LED filament lights, LED decorative lights, Christmas decorative lights, outdoor light strings and so on. Most of the products through UL ETL FCC CE ROHS certification, product quality is very reliable.","Department Store, Buying Cooperative, Distributor, Chain Store, Buying Office","Decorative Lamp,Edison Bulb,LED Bulb,Street Light,Indoor Lighting,Industrial Lighting,Retail Lighting,Solar Lights,Home Automation System,Electrical Wire & Cable","led filament bulb ,led decorative light bulb, holiday led light bulb,solar led light, outdoor led string lights,christmas decorative string lights, solar street light","OEM, ODM, Others",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Venus-Optoelectronic-Co-Ltd/1X0AXGF9,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KURX,,,,,,,,,,,,,,,,,,
"Dongguan Wake Up Lighting Co., Ltd.",Chinese Mainland,"Why choose us? a. More than 10-year Lighting manufacturer providing OEMand ODM. b. Products Certification includes UL/CE/SAA/ ROHS/CB/FCA. c.BSCl/SEDEX factory audit report and lSO9001management system certification. Quality inspection before delivery. d. Design team more than 10people, around 100 new designs per month. e.Provide CUSTOM lighting design according to the customer's request. f. Efficient production, specialized trade department to provide you with thoughtful service. Our sale steam will follow up the goods from your inquiry to shipment. g. Your satisfaction is our persistent pursuit. We will try our best to cooperate with you.","Wholesaler, Importer, Buying Office, Chain Store, Department Store, Retailer",,"1. We are full range home decor lighting factory, being TOP1 suppliers for 5 chain stores in different countries over 10 years. 2. Covering an area of 12500 square meters. 3. Have UL, CUL, CE, BSCI, SEDEX, ISO9001 certifications.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Wake-Up-Lighting-Co-Ltd/1S00OLUAC,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K33O,,,Business Social Compliance Initiative Issued By amfori Type BSCI Valid Date 26 May 2023 - 17 Jun 2024 ISO 9001 Issued By SGS Type ISO_9001 Valid Date 12 Jul 2022 - 11 Jul 2025 Show More,,,,,,,,,,,,,,,
"Foshan Nanhai Renying Lamp Accessories Co., Ltd.",Chinese Mainland,"Established in 1991, one of the most historical and professional manufacturers of lighting tracks and accessories in Guangdong.",Manufacturer,LED Driver,LIGHTING TRACKS AND ACCESSORIES,"OBM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024 HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Nanhai-Renying-Lamp-Accessories-Co-Ltd-/1X0AJEO6,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JYQW,"CNTRAC,ZHIJIA",,"CE Issued By TUV SUD Product Service GmbH Type OTHERS Valid Date 06 Apr 2022 - (N/A) ISO9001 Issued By Guangdong Quality Testing CTC Certification CO., Ltd Type ISO_9001 Valid Date 27 Oct 2021 - 26 Oct 2024 Show More",,,,,,,,,,,,,,,
"Foshan Shuaiqi Kaer Technology Lighting Co., Ltd.",Chinese Mainland,LED Lighting,"Manufacturer, Exporter",Sensor Light,LED Lighting,"ODM, Others, OEM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Shuaiqi-Kaer-Technology-Lighting-Co-Ltd-/1X09ZWDZ,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JO19,,,,,,,,,,,,,,,,,,
Foshan Shunde Advante Electron Ltd.,Chinese Mainland,,Manufacturer,"Light Dimmer,Light Switch,Indoor Lighting,Home Automation System","We Advante Electron Ltd,was found in 1994,which is a professional manufacture for lighting control system, doorbell, and nightlight. We have strong team with 350 workers. So far we have expanded our markets to Europe,US,South Africa,South America etc","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Shunde-Advante-Electron-Ltd-/1X0B8S1N,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JII0,,,,,,,,,,,,,,,,,,
"Gongyi New Materials (Anhui) Co., Ltd.",Chinese Mainland,,Manufacturer,Lighting Design & Engineering,Optical electronics,"Others, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gongyi-New-Materials-Anhui-Co-Ltd/1S00OUEFD,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005L6CU,,,,,,,,,,,,,,,,,,
"Guangdong Anan Lighting Co., Ltd.",Chinese Mainland,"Since establishment in 2011, Guangdong Anan Lighting Co., Ltd has experienced more than 10 years of steady development, and now become a modern high-tech enterprise with a modern workshop of 6,000 square meters, and a management and production team of nearly 100 people. We has passed the ISO9001 quality management system certification, and the products have been passed CCC, CQC, CE and other related certifications. In the meanwhile, we obtained a number of invention patents and utility model patents. Our company is equipped with a technology R&D center, a standard testing laboratory, a lighting animation design department, a CNC machining workshop, an SMT patch processing workshop, a low-power lamp assembly workshop, and a high-power lamp assembly workshop.",Manufacturer,Indoor Lighting,"LED Neon Light, LED Linear Light","OEM, OBM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2022 (Spring Edition) HKTDC Hong Kong International Outdoor and Tech Light Expo 2021 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Anan-Lighting-Co-Ltd/1X09F6OU,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K3ER,Shuangan,,Certificate of Compliance CE-EMC Issued By - Type - Valid Date (N/A) - (N/A) Certificate of Compliance CE-LVD Issued By - Type - Valid Date (N/A) - (N/A) Show More,,,,,,,,,,,,,,,
