company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
Ching Mei Industrial Co,Hong Kong,Manufacturer,Watch Glass,Our sapphire crystal products are not only supplied to the global traditional watch market but are also widely used in various optical products,OEM,,www.cmcrystals.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ching-Mei-Industrial-Co/1X00I6MW?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MILR?fairCode=hkwatchfair&locale=en,
Daniel Klein Group Limited,Hong Kong,Exporter,"Mechanical Hands & Digital Watch, Kids Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Ladies Watch, Quartz Analogue Watch, Mens Watch, Chronograph Watch, Skeleton Mechanical Watch, Digital Watch","We are focus on brand products - Watches, Jewellery & Eyewear",Others,"Santa Barbara Polo & Racquet,Daniel Klein,Freelook,Bigotti,Valentino Orlandi,Sergio Tacchini",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Daniel-Klein-Group-Ltd/1X082LZA?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RNAJ?fairCode=hkwatchfair&locale=en,
Epson Hong Kong Limited,Hong Kong,Manufacturer,Watch Movement,Japanese watch movement,Others,Epson,www.epson.com.hk,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Book Fair 2021 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland Show More",,,Hong Kong Authorized Economic Operator Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Epson-Hong-Kong-Limited/1X097VSN?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MYEW?fairCode=hkwatchfair&locale=en,
"Excellent Watch HK Co., Limited",Hong Kong,"Manufacturer, Exporter","Chronograph Watch, Mens Watch, Ladies Watch",GENTS AND LADIES WATCHES,OEM,LURENCE,www.lurencewatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXCELLENT-WATCH-HK-CO-LIMITED/1X07FMSE?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ45?fairCode=hkwatchfair&locale=en,
Gotop Industrial Ltd.,Hong Kong,"Manufacturer, Exporter","Chronograph Watch, 24 Hour Dial Mechanical Watch, Solar Watch, Metal Watch Case, Leather Watch Band, Diver Watch, Sports Timer Watch, Mens Watch, Metal Watch Band, Watch Case, Ladies Watch, Skeleton Mechanical Watch, Jewelled-lever Automatic Watch, Quartz Analogue Watch","We design, develop, manufacture and export stainless steel, quartz and mechanical watches and various watch components. Focus On High-end Stainless Steel Watch With Both Quartz & Mechanical Movements.","OEM, OBM, Others, ODM",,www.gotopwatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gotop-Industrial-Ltd-/1X0A3V96?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJIZ?fairCode=hkwatchfair&locale=en,
Greenland Watch Limited,Hong Kong,Manufacturer,Chronograph Watch,Watches & chronographs,OEM,,www.greenlandwatch.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 BASELWORLD 2018 - The World Watch and Jewellery Show Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Greenland-Watch-Ltd/1X00ANKJ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJCH?fairCode=hkwatchfair&locale=en,
"HK HWD Industrial Co., Limited",Hong Kong,"Exporter, Manufacturer","Ladies Watch, Mens Watch, Chronograph Watch, 24 Hour Dial Mechanical Watch",Smart Bluetooth Watch,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2020 (Autumn Edition),,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-HWD-Industrial-Co-Limited/1X092TVQ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N1M5?fairCode=hkwatchfair&locale=en,
HK J & H International Trading Co Limited,Hong Kong,"Wholesaler, Manufacturer, Exporter","Quartz Analogue Watch, Ladies Watch, Sports Timer Watch, Skeleton Mechanical Watch, Mens Watch","Quartz watch,chronograph watch,fashion watch,sport watch,lady watch,gents watch.","ODM, OEM","Datis,Cobel,Dream,Sorin",www.dreamwatch.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,licence Issued By - Type - Valid Date (N/A) - (N/A) BUSINESS REGISTRATION CERTIFICATION Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-J-H-Int-l-Trading-Co-Ltd/1X06OOFL?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXEX?fairCode=hkwatchfair&locale=en,
Ice Universal Limited,Hong Kong,Buying Office,"Digital Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Kids Watch,Mens Watch,Smart Watch,Bluetooth Smart Watch","Multiple styles: minimalist, sporty, colourful, glamorous. Multiple materials: Ice-Ramic, silicone, metal, etc. Multiple audiences: men, women, kids and juniors. The wide range of Ice-Watch timepieces can adapt to our lifestyle and activities.",OBM,"WATCHPEOPLE,Ice-Watch",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ice-Universal-Limited/1X0A3TI3?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N9U9?fairCode=hkwatchfair&locale=en,
Inspire Workshop Limited,Hong Kong,Manufacturer,"Imitation Leather Watch Band, Rubber Watch Band, Leather Watch Band, Silicone Watch Band, Fabric Watch Band",Leather Watch Strap Italian leather watch strap LWG leather Substainable material watch strap Recycled material watch strap Bio based material watch strap PU watch strap Nylon nato watch strap Rpet watch strap Recycled Polyester watch strap,OEM,,www.inspire-workshop.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Simply Shopping Fest 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Inspire-Workshop-Ltd/1X04NF0R?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHOJ?fairCode=hkwatchfair&locale=en,
Lond Weil Watch Ind Limited,Hong Kong,Manufacturer,"Digital Watch, Quartz Analogue Watch, Brandname Watch, Chronograph Watch, Diver Watch, Mens Watch, Solar Watch, Designer Watch, Sports Timer Watch, 24 Hour Dial Mechanical Watch, Ladies Watch","Our comamy have a wild products range, including quartz watches, mechanical watches, digital watches and smart wristwatches.With decades of watch manufacturing experience, we have gained diversity of watch designs, from minimalism to sophisticatio","ODM, OEM, Others, OBM","REWARD,LondWeil",www.rewardwatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lond-Weil-Watch-Ind-Limited/1X0AUNMH?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXIL?fairCode=hkwatchfair&locale=en,
Longitude Limited,Hong Kong,"Others, Manufacturer","Kids Watch, Ladies Watch, Mens Watch, Brandname Watch, Digital Watch, Diver Watch, Chronograph Watch, Designer Watch","Fila Brand Watch; Analog, Digital, and Ana-digit watch, NB-IoT Smart Watch, Smart Bnad, Optical Heart Rate, GPS, Altimeter, Barometer, Pedometer, Wearable Device",Others,"LAtitude,Fila,WeWealth",www.fila.com/watch,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2022 Style Hong Kong Pavilion at China International Consumer Products Expo, Haikou HKTDC Hong Kong Watch & Clock Fair 2015 HKTDC Hong Kong Watch & Clock Fair 2014 HKTDC Hong Kong Watch & Clock Fair 2013 HKTDC Hong Kong Watch & Clock Fair 2012 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Longitude-Limited/1X04W6E4?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0C0?fairCode=hkwatchfair&locale=en,
Majo Time Limited,Hong Kong,Manufacturer,"Ladies Watch, Mens Watch, Solar Watch, Diver Watch, Quartz Analogue Watch, Chronograph Watch, Radio Control Watch, Skeleton Mechanical Watch",QUARTZ ANALOG WATCHES,OEM,,majotime.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Majo-Time-Limited/1X05DXEV?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHT4?fairCode=hkwatchfair&locale=en,
Modern Ltd.,Hong Kong,"Exporter, Manufacturer","Quartz Analogue Watch, Ladies Watch, Mens Watch","Ferro offers over 1,000 ready men’s & women’s watch models with innovative designs, high quality and competitive prices. With global distributors in 42+ countries, Ferro is Beyond the Time","Others, OEM, ODM, OBM",FERRO,www.ferrotime.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Modern-Ltd-/1X0A3UC6?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ2B?fairCode=hkwatchfair&locale=en,
